Teorica,PESO PRENDA,LARGO DE CUERPO,AREA,DE_MODELO
190,54,23,1771,SM8 TOP-2S
280,144,75,5550,SM8 TOP-2S
229,56,19.5,955.5,SM8 TOP-2S
286,81,26,2002,SM8 TOP-2S
295,83,30,2250,SM8 TOP-2S
184,108,32.5,2535,SM8 TOP-2S
594,187,98,7252,SM8 TOP-2S
314,89,39,2886,SM8 TOP-2S
138,28,13,884,SM8 TOP-2S
238,77,27,2160,SM8 TOP-2S
506,72,30,2460,SM8 TOP-2S
183,64,27.5,2255,SM8 TOP-2S
178,53,21.5,1462,SM8 TOP-2S
189,101,18,1548,SM8 TOP-2S
302,99,59.5,4581.5,SM8 TOP-2S
248,90,72,6840,SM8 TOP-2S
194,80,30.5,2135,SM8 TOP-2S
202,48,36,2664,SM8 TOP-2S
410,67,20,1560,SM8 TOP-2S
581,122,38,2888,SM8 TOP-2S
296,53,18,1278,SM8 TOP-2S
329,91,24.5,1862,SM8 TOP-2S
213,52,35.5,2343,SM8 TOP-2S
494,110,90,5580,SM8 TOP-2S
335,83,25,1650,SM8 TOP-2S
204,63,35,2590,SM8 TOP-2S
124,40,13,1014,SM8 TOP-2S
232,131,22,1672,SM8 TOP-2S
211,64,17.5,1365,SM8 TOP-2S
174,60,27,2025,SM8 TOP-2S
311,74,19,1387,SM8 TOP-2S
190,98,43,3010,SM8 TOP-2S
128,24,10,680,SM8 TOP-2S
207,90,33,2508,SM8 TOP-2S
282,104,66,4818,SM8 TOP-2S
497,73,34.5,2415,SM8 TOP-2S
313,153,37,2849,SM8 TOP-2S
710,190,82,5904,SM8 TOP-2S
421,141,66,5082,SM8 TOP-2S
144,40,15.5,1209,SM8 TOP-2S
118,28,12,840,SM8 TOP-2S
179,97,35,2590,SM8 TOP-2S
292,67,15.5,976.5,SM8 TOP-2S
223,58,32,2208,SM8 TOP-2S
228,46,11.5,828,SM8 TOP-2S
270,63,20,1360,SM8 TOP-2S
217,88,50.5,3232,SM8 TOP-2S
312,94,28.5,1881,SM8 TOP-2S
394,126,98,7350,SM8 TOP-2S
164,63,18,1206,SM8 TOP-2S
249,120,30,2370,SM8 TOP-2S
108,33,10.5,861,SM8 TOP-2S
200,133,38,3078,SM8 TOP-2S
432,73,22.5,1665,SM8 TOP-2S
311,195,35,2415,SM8 TOP-2S
249,112,46,3634,SM8 TOP-2S
249,105,13,1053,SM8 TOP-2S
242,73,22,1496,SM8 TOP-2S
407,195,100,6100,SM8 TOP-2S
185,95,26.5,1908,SM8 TOP-2S
434,142,85,6290,SM8 TOP-2S
526,134,94,6768,SM8 TOP-2S
293,75,17,1071,SM8 TOP-2S
233,154,45.5,3321.5,SM8 TOP-2S
146,72,29,2204,SM8 TOP-2S
268,99,29.5,2124,SM8 TOP-2S
260,98,27.5,1925,SM8 TOP-2S
581,113,37,2997,SM8 TOP-2S
211,64,17.5,1365,SM8 TOP-2S
209,64,23,1748,SM8 TOP-2S
407,159,100,7300,SM8 TOP-2S
361,59,15,1185,SM8 TOP-2S
317,168,37,2849,SM8 TOP-2S
174,80,30,2550,SM8 TOP-2S
275,96,39.5,2528,SM8 TOP-2S
288,84,20.5,1271,SM8 TOP-2S
267,87,26,1872,SM8 TOP-2S
462,109,51.5,3965.5,SM8 TOP-2S
321,164,35.5,2591.5,SM8 TOP-2S
280,96,34,2380,SM8 TOP-2S
124,40,13.5,1053,SM8 TOP-2S
122,35,17.5,1312.5,SM8 TOP-2S
323,163,36.5,2810.5,SM8 TOP-2S
425,167,130,9230,SM8 TOP-2S
235,89,33.5,2177.5,SM8 TOP-2S
313,116,34.5,2070,SM8 TOP-2S
341,709,17,1428,SM8 TOP-2S
282,64,30,2130,SM8 TOP-2S
204,98,44,3476,SM8 TOP-2S
180,35,7,427,SM8 TOP-2S
370,189,90,7020,SM8 TOP-2S
372,135,94,6768,SM8 TOP-2S
359,112,41.5,2988,SM8 TOP-2S
221,71,57.5,5175,SM8 TOP-2S
258,69,24.5,1813,SM8 TOP-2S
270,80,21.5,1548,SM8 TOP-2S
330,158,34.5,2484,SM8 TOP-2S
296,53,18.5,1295,SM8 TOP-2S
399,112,20,1500,SM8 TOP-2S
162,66,28,2072,SM8 TOP-2S
181,87,47,3431,SM8 TOP-2S
253,69,46,3082,SM8 TOP-2S
504,94,49.5,3366,SM8 TOP-2S
265,126,33,2640,SM8 TOP-2S
204,95,47,3760,SM8 TOP-2S
151,34,15,1050,SM8 TOP-2S
437,132,96,5472,SM8 TOP-2S
204,89,32,2208,SM8 TOP-2S
125,37,19.5,1365,SM8 TOP-2S
330,142,42,3024,SM8 TOP-2S
204,106,42.5,2890,SM8 TOP-2S
263,38,22,1364,SM8 TOP-2S
176,73,29.5,2301,SM8 TOP-2S
222,72,56,5152,SM8 TOP-2S
260,126,42,3150,SM8 TOP-2S
275,96,39.5,2528,SM8 TOP-2S
434,70,25.5,1810.5,SM8 TOP-2S
310,106,28.5,1824,SM8 TOP-2S
492,86,43,2838,SM8 TOP-2S
191,95,50,3600,SM8 TOP-2S
217,143,34.5,2484,SM8 TOP-2S
408,133,38.5,3080,SM8 TOP-2S
243,84,20,1480,SM8 TOP-2S
159,39,19,1330,SM8 TOP-2S
277,92,30.5,2196,SM8 TOP-2S
276,78,34,2652,SM8 TOP-2S
568,170,105,8295,SM8 TOP-2S
664,149,107,8132,SM8 TOP-2S
290,126,20,1620,SM8 TOP-2S
290,108,67,5360,SM8 TOP-2S
182,46,28.5,1881,SM8 TOP-2S
275,90,64.5,4515,SM8 TOP-2S
625,86,55,3080,SM8 TOP-2S
240,73,33,2574,SM8 TOP-2S
219,57,20,1380,SM8 TOP-2S
266,64,19.5,1209,SM8 TOP-2S
323,73,40.5,2835,SM8 TOP-2S
318,160,38,2964,SM8 TOP-2S
296,43,23.5,1739,SM8 TOP-2S
237,69,26.5,2199.5,SM8 TOP-2S
193,97,48,3552,SM8 TOP-2S
124,40,13.5,1080,SM8 TOP-2S
427,62,13,1001,SM8 TOP-2S
513,168,110,10450,SM8 TOP-2S
142,63,17,1258,SM8 TOP-2S
176,43,17,1088,SM8 TOP-2S
211,108,100,8200,SM8 TOP-2S
275,88,37,2442,SM8 TOP-2S
329,48,22.5,1552.5,SM8 TOP-2S
316,156,70,5250,SM8 TOP-2S
392,121,100,6100,SM8 TOP-2S
219,98,26.5,1987.5,SM8 TOP-2S
112,33,11.5,897,SM8 TOP-2S
163,75,21,1386,SM8 TOP-2S
287,52,18,1260,SM8 TOP-2S
336,98,35,2870,SM8 TOP-2S
359,90,20,1420,SM8 TOP-2S
340,170,44,3168,SM8 TOP-2S
280,96,34,2380,SM8 TOP-2S
320,146,33.5,2479,SM8 TOP-2S
265,127,33,2640,SM8 TOP-2S
427,62,13,1001,SM8 TOP-2S
224,116,31,2914,TOP2 V
296,131,24,2424,TOP2 V
237,161,34,3196,TOP2 V
288,93,21,1743,TOP2 V
453,166,94,9212,TOP2 V
430,195,98,0,TOP2 V
430,134,66,5544,TOP2 V
